# proj, module, test, # tests selected (normal), % tests selected from normal, ground truth achieved?, empirical achieved?, overall time, analysis time, detection time, % overall time from normal, # tests selected (ekstazi), % tests selected from normal, ground truth achieved?, empirical achieved?, overall time, analysis time, detection time, % overall time from normal, # tests selected (IncIDFlakies_E), % tests selected from normal, ground truth achieved?, empirical achieved?, overall time, analysis time, detection time, % overall time from normal
apache/incubator-dubbo,dubbo-filter/dubbo-filter-cache,com.alibaba.dubbo.cache.support.jcache.JCacheFactoryTest.testJCacheGetExpired,6,100.00,Y,Y,35.258,0.00,35.258,100.00,6,100.00,Y,Y,35.704,0.257,35.447,101.26,6,100.00,Y,Y,36.237,0.264,35.973,102.77
apache/incubator-dubbo,dubbo-serialization/dubbo-serialization-fst,com.alibaba.dubbo.common.serialize.fst.FstObjectInputTest.testEmptyByteArrayForEmptyInput,21,100.00,Y,Y,7.292,0.00,7.292,100.00,21,100.00,Y,Y,7.517,0.24,7.277,103.08,21,100.00,Y,Y,7.333,0.239,7.094,100.56
apache/incubator-dubbo,dubbo-common,com.alibaba.dubbo.common.threadlocal.InternalThreadLocalTest.testSize,301,100.00,Y,Y,172.934,0.00,172.934,100.00,10,3.32,Y,Y,47.804,0.018,47.786,27.64,24,7.97,Y,Y,126.537,0.021,126.516,73.17
apache/incubator-dubbo,dubbo-config/dubbo-config-api,com.alibaba.dubbo.config.AbstractInterfaceConfigTest.testCheckRegistry2,83,100.00,Y,Y,53.437,0.00,53.437,100.00,83,100.00,Y,Y,53.697,0.028,53.669,100.48,83,100.00,Y,Y,53.726,0.093,53.633,100.54
apache/incubator-dubbo,dubbo-config/dubbo-config-spring,com.alibaba.dubbo.config.spring.extension.SpringExtensionFactoryTest.testGetExtensionByType,66,100.00,Y,Y,119.46,0.00,119.46,100.00,12,18.18,Y,Y,108.614,0.03,108.584,90.92,27,40.90,Y,Y,120.994,0.098,120.896,101.28
apache/incubator-dubbo,dubbo-config/dubbo-config-spring,com.alibaba.dubbo.config.spring.extension.SpringExtensionFactoryTest.testGetExtensionByTypeMultiple,66,100.00,Y,Y,119.46,0.00,119.46,100.00,12,18.18,Y,Y,108.614,0.03,108.584,90.92,27,40.90,Y,Y,120.994,0.098,120.896,101.28
apache/incubator-dubbo,dubbo-cluster,org.apache.dubbo.rpc.cluster.support.AbstractClusterInvokerTest.testBindingAttachment,112,100.00,Y,Y,55.801,0.00,55.801,100.00,5,4.46,N,N,5.235,0.019,5.216,9.38,106,94.64,Y,N,55.987,0.143,55.844,100.33
apache/incubator-dubbo,dubbo-cluster,org.apache.dubbo.rpc.cluster.support.ForkingClusterInvokerTest.testClearRpcContext,112,100.00,Y,Y,55.801,0.00,55.801,100.00,5,4.46,N,N,5.235,0.019,5.216,9.38,106,94.64,Y,N,55.987,0.143,55.844,100.33
apache/incubator-dubbo,dubbo-rpc/dubbo-rpc-api,org.apache.dubbo.rpc.proxy.javassist.JavassistProxyFactoryTest.testGetInvoker,60,100.00,Y,Y,53.793,0.00,53.793,100.00,57,95.00,Y,Y,53.565,0.017,53.548,99.57,59,98.33,Y,Y,53.595,0.038,53.557,99.63
apache/incubator-dubbo,dubbo-rpc/dubbo-rpc-api,org.apache.dubbo.rpc.proxy.jdk.JdkProxyFactoryTest.testGetInvoker,60,100.00,Y,N,53.793,0.00,53.793,100.00,57,95.00,Y,Y,53.565,0.017,53.548,99.57,59,98.33,Y,N,53.595,0.038,53.557,99.63
ctco/cukes,cukes-http,lv.ctco.cukes.http.facade.HttpAssertionFacadeImplTest.shouldReturnBodyWhenEnabledAndNoMax,13,100.00,Y,Y,14.795,0.00,14.795,100.00,13,100.00,Y,Y,15.478,0.278,15.2,104.61,13,100.00,Y,Y,15.035,0.276,14.759,101.62
dropwizard/dropwizard,dropwizard-logging,io.dropwizard.logging.DefaultLoggingFactoryPrintErrorMessagesTest.testLogbackStatusPrinterPrintStreamIsRestoredToSystemOut,77,100.00,Y,N,44.553,0.00,44.553,100.00,4,5.19,N,N,32.359,0.039,32.32,72.63,58,75.32,Y,N,41.434,0.059,41.375,92.99
elasticjob/elastic-job-lite,elastic-job-lite/elastic-job-lite-core,com.dangdang.ddframe.job.lite.internal.election.ElectionListenerManagerTest.assertLeaderElectionWhenRemoveLeaderInstancePathWithAvailableServerButJobInstanceIsShutdown,314,100.00,Y,N,120.189,0.00,120.189,100.00,194,61.78,Y,N,42.636,0.035,42.601,35.47,233,74.20,Y,N,44.674,0.056,44.618,37.16
elasticjob/elastic-job-lite,elastic-job-lite/elastic-job-lite-core,com.dangdang.ddframe.job.lite.internal.failover.FailoverServiceTest.assertGetLocalFailoverItemsIfShutdown,314,100.00,Y,N,120.189,0.00,120.189,100.00,194,61.78,Y,N,42.636,0.035,42.601,35.47,233,74.20,Y,N,44.674,0.056,44.618,37.16
elasticjob/elastic-job-lite,elastic-job-lite/elastic-job-lite-core,com.dangdang.ddframe.job.lite.internal.instance.ShutdownListenerManagerTest.assertIsShutdownAlready,315,100.00,Y,Y,123.052,0.00,123.052,100.00,12,3.80,Y,Y,34.060,0.036,34.024,27.67,223,70.79,Y,Y,43.799,0.051,43.748,35.59
elasticjob/elastic-job-lite,elastic-job-lite/elastic-job-lite-core,com.dangdang.ddframe.job.lite.internal.schedule.JobRegistryTest.assertGetCurrentShardingTotalCountIfNull,305,100.00,Y,Y,83.547,0.00,83.547,100.00,196,64.26,Y,Y,29.584,0.03,29.554,35.41,237,77.70,Y,Y,29.932,0.052,29.88,35.82
fhoeben/hsac-fitnesse-fixtures,.,nl.hsac.fitnesse.fixture.slim.FileFixtureTest.testDelete,182,100.00,Y,Y,13.085,0.00,13.085,100.00,29,15.93,Y,Y,9.732,0.075,9.657,74.37,94,51.64,Y,Y,11.677,0.167,11.51,89.23
hexagonframework/spring-data-ebean,.,org.springframework.data.ebean.repository.UserRepositoryIntegrationTest.deleteById,47,100.00,Y,N,19.922,0.00,19.922,100.00,47,100.00,Y,N,19.251,0.069,19.182,96.63,47,100.00,Y,N,19.377,0.095,19.282,97.26
kevinsawicki/http-request,lib,com.github.kevinsawicki.http.HttpRequestTest.basicProxyAuthentication,152,100.00,Y,Y,14.046,0.00,14.046,100.00,152,100.00,Y,Y,12.777,0.01,12.767,90.96,152,100.00,Y,Y,13.006,0.023,12.983,92.59
ktuukkan/marine-api,.,net.sf.marineapi.ais.event.AbstractAISMessageListenerTest.testBasicListenerWithUnexpectedMessage,736,100.00,Y,Y,18.786,0.00,18.786,100.00,25,3.39,N,N,4.839,0.063,4.776,25.75,176,23.91,Y,Y,12.524,0.063,12.461,66.66
ktuukkan/marine-api,.,net.sf.marineapi.ais.event.AbstractAISMessageListenerTest.testConstructor,736,100.00,Y,Y,18.786,0.00,18.786,100.00,25,3.39,N,N,4.839,0.063,4.776,25.75,176,23.91,Y,Y,12.524,0.063,12.461,66.66
ktuukkan/marine-api,.,net.sf.marineapi.ais.event.AbstractAISMessageListenerTest.testGenericsListenerDefaultConstructorThrows,736,100.00,Y,Y,18.786,0.00,18.786,100.00,25,3.39,N,N,4.839,0.063,4.776,25.75,176,23.91,Y,Y,12.524,0.063,12.461,66.66
ktuukkan/marine-api,.,net.sf.marineapi.ais.event.AbstractAISMessageListenerTest.testGenericsListener,736,100.00,Y,Y,18.786,0.00,18.786,100.00,25,3.39,N,N,4.839,0.063,4.776,25.75,176,23.91,Y,Y,12.524,0.063,12.461,66.66
