# proj, module, test, # tests selected (normal), % tests selected from normal, ground truth achieved?, empirical achieved?, overall time, analysis time, detection time, % overall time from normal, # tests selected (starts), % tests selected from normal, ground truth achieved?, empirical achieved?, overall time, analysis time, detection time, % overall time from normal, # tests selected (IncIDFlakies_S), % tests selected from normal, ground truth achieved?, empirical achieved?, overall time, analysis time, detection time, % overall time from normal
apache/incubator-dubbo,dubbo-filter/dubbo-filter-cache,com.alibaba.dubbo.cache.support.jcache.JCacheFactoryTest.testJCacheGetExpired,6,100.00,Y,Y,35.258,0.00,35.258,100.00,6,100.00,Y,Y,35.290,0.001,35.289,100.09,6,100.00,Y,Y,36.433,0.017,36.416,103.33
apache/incubator-dubbo,dubbo-serialization/dubbo-serialization-fst,com.alibaba.dubbo.common.serialize.fst.FstObjectInputTest.testEmptyByteArrayForEmptyInput,21,100.00,Y,Y,7.292,0.00,7.292,100.00,21,100.00,Y,Y,7.207,0.001,7.206,98.83,21,100.00,Y,Y,7.346,0.018,7.328,100.74
apache/incubator-dubbo,dubbo-common,com.alibaba.dubbo.common.threadlocal.InternalThreadLocalTest.testSize,301,100.00,Y,Y,172.934,0.00,172.934,100.00,10,3.32,Y,Y,47.675,0.001,47.674,27.56,30,9.96,Y,Y,127.455,0.003,127.452,73.70
apache/incubator-dubbo,dubbo-config/dubbo-config-api,com.alibaba.dubbo.config.AbstractInterfaceConfigTest.testCheckRegistry2,83,100.00,Y,Y,53.437,0.00,53.437,100.00,83,100.00,Y,Y,53.080,0.001,53.079,99.33,83,100.00,Y,Y,53.503,0.053,53.45,100.12
apache/incubator-dubbo,dubbo-config/dubbo-config-spring,com.alibaba.dubbo.config.spring.extension.SpringExtensionFactoryTest.testGetExtensionByType,66,100.00,Y,Y,119.46,0.00,119.46,100.00,46,69.69,Y,Y,132.494,0.0,132.494,110.91,64,96.96,Y,Y,110.907,0.038,110.869,92.84
apache/incubator-dubbo,dubbo-config/dubbo-config-spring,com.alibaba.dubbo.config.spring.extension.SpringExtensionFactoryTest.testGetExtensionByTypeMultiple,66,100.00,Y,Y,119.46,0.00,119.46,100.00,46,69.69,N,N,132.494,0.0,132.494,110.91,64,96.96,Y,Y,110.907,0.038,110.869,92.84
apache/incubator-dubbo,dubbo-cluster,org.apache.dubbo.rpc.cluster.support.AbstractClusterInvokerTest.testBindingAttachment,112,100.00,Y,Y,55.801,0.00,55.801,100.00,112,100.00,Y,Y,56.092,0.001,56.091,100.52,112,100.00,Y,Y,54.878,0.033,54.845,98.34
apache/incubator-dubbo,dubbo-cluster,org.apache.dubbo.rpc.cluster.support.ForkingClusterInvokerTest.testClearRpcContext,112,100.00,Y,Y,55.801,0.00,55.801,100.00,112,100.00,Y,Y,56.092,0.001,56.091,100.52,112,100.00,Y,Y,54.878,0.033,54.845,98.34
apache/incubator-dubbo,dubbo-rpc/dubbo-rpc-api,org.apache.dubbo.rpc.proxy.javassist.JavassistProxyFactoryTest.testGetInvoker,60,100.00,Y,Y,53.793,0.00,53.793,100.00,58,96.66,Y,N,39.076,0.001,39.075,72.64,58,96.66,Y,N,39.093,0.034,39.059,72.67
apache/incubator-dubbo,dubbo-rpc/dubbo-rpc-api,org.apache.dubbo.rpc.proxy.jdk.JdkProxyFactoryTest.testGetInvoker,60,100.00,Y,N,53.793,0.00,53.793,100.00,58,96.66,Y,Y,39.076,0.001,39.075,72.64,58,96.66,Y,Y,39.093,0.034,39.059,72.67
ctco/cukes,cukes-http,lv.ctco.cukes.http.facade.HttpAssertionFacadeImplTest.shouldReturnBodyWhenEnabledAndNoMax,13,100.00,Y,Y,14.795,0.00,14.795,100.00,13,100.00,Y,Y,14.273,0.002,14.271,96.47,13,100.00,Y,Y,14.355,0.014,14.341,97.02
dropwizard/dropwizard,dropwizard-logging,io.dropwizard.logging.DefaultLoggingFactoryPrintErrorMessagesTest.testLogbackStatusPrinterPrintStreamIsRestoredToSystemOut,77,100.00,Y,N,44.553,0.00,44.553,100.00,4,5.19,N,N,31.806,0.002,31.804,71.38,58,75.32,Y,N,41.230,0.031,41.199,92.54
elasticjob/elastic-job-lite,elastic-job-lite/elastic-job-lite-core,com.dangdang.ddframe.job.lite.internal.election.ElectionListenerManagerTest.assertLeaderElectionWhenRemoveLeaderInstancePathWithAvailableServerButJobInstanceIsShutdown,314,100.00,Y,N,120.189,0.00,120.189,100.00,199,63.37,Y,N,43.101,0.004,43.097,35.86,263,83.75,Y,N,45.788,0.044,45.744,38.09
elasticjob/elastic-job-lite,elastic-job-lite/elastic-job-lite-core,com.dangdang.ddframe.job.lite.internal.failover.FailoverServiceTest.assertGetLocalFailoverItemsIfShutdown,314,100.00,Y,N,120.189,0.00,120.189,100.00,199,63.37,Y,N,43.101,0.004,43.097,35.86,263,83.75,Y,N,45.788,0.044,45.744,38.09
elasticjob/elastic-job-lite,elastic-job-lite/elastic-job-lite-core,com.dangdang.ddframe.job.lite.internal.instance.ShutdownListenerManagerTest.assertIsShutdownAlready,315,100.00,Y,Y,123.052,0.00,123.052,100.00,12,3.80,Y,Y,33.867,0.004,33.863,27.52,264,83.80,Y,Y,46.047,0.037,46.01,37.42
elasticjob/elastic-job-lite,elastic-job-lite/elastic-job-lite-core,com.dangdang.ddframe.job.lite.internal.schedule.JobRegistryTest.assertGetCurrentShardingTotalCountIfNull,305,100.00,Y,Y,83.547,0.00,83.547,100.00,196,64.26,Y,Y,29.425,0.003,29.422,35.21,271,88.85,Y,Y,29.087,0.037,29.05,34.81
fhoeben/hsac-fitnesse-fixtures,.,nl.hsac.fitnesse.fixture.slim.FileFixtureTest.testDelete,182,100.00,Y,Y,13.085,0.00,13.085,100.00,106,58.24,Y,Y,11.761,0.002,11.759,89.88,117,64.28,Y,N,11.792,0.122,11.67,90.11
hexagonframework/spring-data-ebean,.,org.springframework.data.ebean.repository.UserRepositoryIntegrationTest.deleteById,47,100.00,Y,N,19.922,0.00,19.922,100.00,47,100.00,Y,N,18.606,0.001,18.605,93.39,47,100.00,Y,N,19.885,0.008,19.877,99.81
kevinsawicki/http-request,lib,com.github.kevinsawicki.http.HttpRequestTest.basicProxyAuthentication,152,100.00,Y,Y,14.046,0.00,14.046,100.00,152,100.00,Y,Y,12.909,0.001,12.908,91.90,152,100.00,Y,Y,12.821,0.016,12.805,91.27
ktuukkan/marine-api,.,net.sf.marineapi.ais.event.AbstractAISMessageListenerTest.testBasicListenerWithUnexpectedMessage,736,100.00,Y,Y,18.786,0.00,18.786,100.00,25,3.39,N,N,4.719,0.001,4.718,25.11,188,25.54,Y,N,12.533,0.022,12.511,66.71
ktuukkan/marine-api,.,net.sf.marineapi.ais.event.AbstractAISMessageListenerTest.testConstructor,736,100.00,Y,Y,18.786,0.00,18.786,100.00,25,3.39,N,N,4.719,0.001,4.718,25.11,188,25.54,Y,N,12.533,0.022,12.511,66.71
ktuukkan/marine-api,.,net.sf.marineapi.ais.event.AbstractAISMessageListenerTest.testGenericsListenerDefaultConstructorThrows,736,100.00,Y,Y,18.786,0.00,18.786,100.00,25,3.39,N,N,4.719,0.001,4.718,25.11,188,25.54,Y,N,12.533,0.022,12.511,66.71
ktuukkan/marine-api,.,net.sf.marineapi.ais.event.AbstractAISMessageListenerTest.testGenericsListener,736,100.00,Y,Y,18.786,0.00,18.786,100.00,25,3.39,N,N,4.719,0.001,4.718,25.11,188,25.54,Y,N,12.533,0.022,12.511,66.71
ktuukkan/marine-api,.,net.sf.marineapi.ais.event.AbstractAISMessageListenerTest.testOnMessageWithExpectedMessage,736,100.00,Y,Y,18.786,0.00,18.786,100.00,25,3.39,N,N,4.719,0.001,4.718,25.11,188,25.54,Y,N,12.533,0.022,12.511,66.71
ktuukkan/marine-api,.,net.sf.marineapi.ais.event.AbstractAISMessageListenerTest.testParametrizedConstructor,736,100.00,Y,Y,18.786,0.00,18.786,100.00,25,3.39,N,N,4.719,0.001,4.718,25.11,188,25.54,Y,N,12.533,0.022,12.511,66.71
ktuukkan/marine-api,.,net.sf.marineapi.ais.event.AbstractAISMessageListenerTest.testSequenceListener,736,100.00,Y,Y,18.786,0.00,18.786,100.00,25,3.39,N,N,4.719,0.001,4.718,25.11,188,25.54,Y,N,12.533,0.022,12.511,66.71
ktuukkan/marine-api,.,net.sf.marineapi.ais.event.AbstractAISMessageListenerTest.testSequenceListenerWithIncorrectOrder,736,100.00,Y,Y,18.786,0.00,18.786,100.00,25,3.39,N,N,4.719,0.001,4.718,25.11,188,25.54,Y,N,12.533,0.022,12.511,66.71
ktuukkan/marine-api,.,net.sf.marineapi.ais.event.AbstractAISMessageListenerTest.testSequenceListenerWithMixedOrder,736,100.00,Y,Y,18.786,0.00,18.786,100.00,25,3.39,N,N,4.719,0.001,4.718,25.11,188,25.54,Y,N,12.533,0.022,12.511,66.71
ktuukkan/marine-api,.,net.sf.marineapi.ais.parser.AISMessageFactoryTest.testCreate,707,100.00,Y,Y,17.949,0.00,17.949,100.00,3,.42,N,N,4.346,0.002,4.344,24.21,159,22.48,Y,N,12.304,0.02,12.284,68.54
ktuukkan/marine-api,.,net.sf.marineapi.ais.parser.AISMessageFactoryTest.testCreateWithIncorrectOrder,707,100.00,Y,Y,17.949,0.00,17.949,100.00,3,.42,N,N,4.346,0.002,4.344,24.21,159,22.48,Y,N,12.304,0.02,12.284,68.54
ktuukkan/marine-api,.,net.sf.marineapi.ais.parser.AISMessageFactoryTest.testCreateWithTwo,707,100.00,Y,Y,17.949,0.00,17.949,100.00,3,.42,N,N,4.346,0.002,4.344,24.21,159,22.48,Y,N,12.304,0.02,12.284,68.54
openpojo/openpojo,.,com.openpojo.issues.issue112.IssueTest.shouldNotFail,1124,100.00,Y,Y,324.374,0.00,324.374,100.00,1092,97.15,Y,Y,320.345,0.003,320.342,98.75,1096,97.50,Y,Y,323.248,0.112,323.136,99.65
openpojo/openpojo,.,com.openpojo.validation.test.impl.SerializableTesterTest.shouldSkipOverNonSerializableClass,1156,100.00,Y,Y,337.96,0.00,337.96,100.00,7,.60,N,N,4.742,0.003,4.739,1.40,1120,96.88,Y,Y,338.262,0.081,338.181,100.08
openpojo/openpojo,.,com.openpojo.validation.test.impl.GetterTesterTest.shouldSuccessfullyValidateEvenIfLoggingFails,1130,100.00,Y,N,324.308,0.00,324.308,100.00,66,5.84,N,N,20.555,0.002,20.553,6.33,1102,97.52,Y,Y,320.754,0.071,320.683,98.90
